Area 				West 	East 	North 	South
caspian-sea			46 	56 	36 	47
black-sea			27 	43 	40.5 	48
white-sea			31 	41 	63 	67
gulf-of-ob			70 	79 	65 	71
persian-gulf			46 	59 	21 	31
tanquary-fiord			-102 	-98 	79.5 	81.5
spencer-golf			137 	137.5 	-33 	-32
ingrid-christensen-coast	97 	100 	-67 	-65
jennings-promontory		68.5 	71.6 	-71 	-68
princess-martha-coast-east	25 	27 	-71.5 	-68
princess-martha-coast-center	16 	19 	-70.5 	-68
princess-martha-coast-west	-2.5 	2.5 	-72 	-70
coronation-queen-maude		-112.6 	-111.5 	70 	70.5
saint-lawrence			-69.2 	-65.5 	48 	49
